time,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
-0.001702,7.5920000000000005,7.612,7.588,7.596,7.628,7.5920000000000005,7.58,7.62,7.6240000000000006,7.6080000000000005,7.5920000000000005,7.58,7.596,7.604,7.58,7.6000000000000005,7.604,7.596,7.6000000000000005,7.596
-0.0017016,7.58,7.6080000000000005,7.5920000000000005,7.604,7.6240000000000006,7.5920000000000005,7.58,7.62,7.6240000000000006,7.612,7.5920000000000005,7.572,7.596,7.6000000000000005,7.5840000000000005,7.604,7.6080000000000005,7.5920000000000005,7.6000000000000005,7.596
-0.0017012,7.5760000000000005,7.6160000000000005,7.596,7.604,7.62,7.596,7.58,7.612,7.628,7.612,7.5920000000000005,7.572,7.6000000000000005,7.604,7.5760000000000005,7.6000000000000005,7.604,7.596,7.6080000000000005,7.5920000000000005
-0.0017008,7.5840000000000005,7.62,7.5840000000000005,7.604,7.6240000000000006,7.5920000000000005,7.58,7.62,7.6160000000000005,7.62,7.5840000000000005,7.58,7.604,7.6000000000000005,7.58,7.596,7.6080000000000005,7.5920000000000005,7.596,7.6000000000000005
-0.0017004,7.58,7.62,7.588,7.612,7.62,7.596,7.58,7.62,7.6240000000000006,7.62,7.588,7.572,7.6080000000000005,7.604,7.58,7.596,7.6080000000000005,7.596,7.596,7.5920000000000005
-0.0017,7.5840000000000005,7.6080000000000005,7.5920000000000005,7.6080000000000005,7.6240000000000006,7.588,7.58,7.62,7.6240000000000006,7.6240000000000006,7.588,7.5760000000000005,7.612,7.604,7.5840000000000005,7.5920000000000005,7.6080000000000005,7.6000000000000005,7.6000000000000005,7.588
-0.0016996,7.5840000000000005,7.612,7.5920000000000005,7.6000000000000005,7.628,7.6000000000000005,7.58,7.6160000000000005,7.628,7.62,7.588,7.58,7.596,7.6000000000000005,7.5840000000000005,7.6000000000000005,7.6000000000000005,7.596,7.6000000000000005,7.596
-0.0016991999999999999,7.572,7.604,7.5920000000000005,7.604,7.6160000000000005,7.6000000000000005,7.58,7.6240000000000006,7.628,7.628,7.5920000000000005,7.572,7.6080000000000005,7.6000000000000005,7.588,7.588,7.596,7.588,7.604,7.5920000000000005
-0.0016987999999999999,7.58,7.604,7.6000000000000005,7.6080000000000005,7.62,7.6000000000000005,7.58,7.62,7.62,7.62,7.588,7.58,7.6000000000000005,7.588,7.5920000000000005,7.596,7.6000000000000005,7.5920000000000005,7.6000000000000005,7.588
-0.0016983999999999999,7.5760000000000005,7.6080000000000005,7.5920000000000005,7.6080000000000005,7.6080000000000005,7.604,7.5840000000000005,7.6160000000000005,7.6240000000000006,7.632000000000001,7.58,7.5840000000000005,7.596,7.6000000000000005,7.5920000000000005,7.596,7.6000000000000005,7.596,7.604,7.6000000000000005
