x,y,time
8.86808,8.82056,0.001698
8.86664,8.819600000000001,0.00169804
8.86616,8.81912,0.00169808
8.86472,8.82152,0.00169812
8.86088,8.82008,0.00169816
8.86616,8.81816,0.0016982
8.86232,8.81816,0.0016982400000000002
8.86424,8.815760000000001,0.0016982800000000001
8.86328,8.81672,0.0016983200000000001
8.86424,8.82152,0.00169836
8.86664,8.82008,0.0016984
8.86712,8.8172,0.00169844
8.86664,8.81912,0.00169848
8.86472,8.82056,0.00169852
8.863760000000001,8.8172,0.00169856
8.86664,8.81864,0.0016986
8.86472,8.81816,0.0016986400000000002
8.865680000000001,8.81864,0.0016986800000000002
8.86712,8.817680000000001,0.0016987200000000001
8.86616,8.82056,0.0016987600000000001
8.86472,8.82152,0.0016988
8.86664,8.819600000000001,0.00169884
8.86424,8.817680000000001,0.00169888
8.86616,8.81672,0.00169892
8.865680000000001,8.822000000000001,0.00169896
8.8628,8.81816,0.001699
8.865680000000001,8.82104,0.00169904
8.86664,8.81864,0.0016990800000000002
8.86088,8.82008,0.0016991200000000001
8.86472,8.82008,0.0016991600000000001
8.86712,8.81864,0.0016992
8.8652,8.8172,0.00169924
8.8628,8.82008,0.00169928
8.86664,8.822000000000001,0.00169932
8.863760000000001,8.817680000000001,0.00169936
8.863760000000001,8.81816,0.0016994
8.8652,8.81672,0.00169944
8.86664,8.82008,0.0016994800000000002
8.86472,8.81864,0.0016995200000000002
8.86808,8.81816,0.0016995600000000001
8.86712,8.8172,0.0016996000000000001
8.86616,8.82008,0.00169964
8.86712,8.81912,0.00169968
8.86664,8.81864,0.00169972
8.86616,8.82152,0.00169976
8.86472,8.8172,0.0016998
8.86712,8.81672,0.00169984
8.8652,8.817680000000001,0.00169988
8.8628,8.81912,0.0016999200000000002
8.86424,8.81672,0.0016999600000000001
8.865680000000001,8.81912,0.0017000000000000001
8.867600000000001,8.81816,0.00170004
8.86712,8.8172,0.00170008
8.86616,8.8172,0.00170012
8.86808,8.82248,0.00170016
8.86712,8.817680000000001,0.0017002
8.86424,8.82056,0.00170024
8.86424,8.8172,0.00170028
8.86616,8.82008,0.0017003200000000002
8.86664,8.81624,0.0017003600000000002
8.86472,8.81864,0.0017004000000000001
8.86664,8.81672,0.0017004400000000001
8.86664,8.8172,0.00170048
8.865680000000001,8.8172,0.00170052
8.865680000000001,8.8172,0.00170056
8.86328,8.817680000000001,0.0017006
8.86712,8.81864,0.00170064
8.86664,8.81864,0.00170068
8.86712,8.817680000000001,0.00170072
8.865680000000001,8.817680000000001,0.0017007600000000002
8.8652,8.82008,0.0017008000000000001
8.86952,8.8172,0.0017008400000000001
8.86184,8.81912,0.00170088
8.86664,8.81864,0.00170092
8.865680000000001,8.81624,0.00170096
8.86424,8.81864,0.001701
8.8652,8.81912,0.00170104
8.867600000000001,8.817680000000001,0.00170108
8.865680000000001,8.81624,0.00170112
8.86616,8.817680000000001,0.0017011600000000002
8.86424,8.817680000000001,0.0017012000000000002
8.8652,8.8148,0.0017012400000000001
8.86616,8.81672,0.0017012800000000001
8.86664,8.81912,0.00170132
8.8652,8.81864,0.00170136
8.8652,8.81864,0.0017014
8.86328,8.81816,0.00170144
8.86712,8.81864,0.00170148
8.8628,8.815760000000001,0.00170152
8.865680000000001,8.81864,0.0017015600000000002
8.865680000000001,8.815760000000001,0.0017016000000000002
8.86616,8.81624,0.0017016400000000001
8.86808,8.8124,0.0017016800000000001
8.865680000000001,8.81864,0.00170172
8.8652,8.81624,0.00170176
8.86664,8.81624,0.0017018
8.863760000000001,8.815760000000001,0.00170184
8.86328,8.81672,0.00170188
8.86664,8.813360000000001,0.00170192
8.86712,8.8148,0.00170196
8.86616,8.81912,0.0017020000000000002
8.867600000000001,8.81912,0.0017020400000000002
8.86712,8.81912,0.0017020800000000001
8.865680000000001,8.81624,0.0017021200000000001
8.865680000000001,8.817680000000001,0.00170216
8.867600000000001,8.81816,0.0017022
8.86424,8.81528,0.00170224
8.86712,8.8172,0.00170228
8.86616,8.81528,0.00170232
8.86616,8.8148,0.00170236
8.8652,8.81672,0.0017024000000000002
8.86328,8.817680000000001,0.0017024400000000002
8.8628,8.817680000000001,0.0017024800000000001
8.86664,8.81624,0.0017025200000000001
8.86616,8.81528,0.00170256
8.86616,8.81864,0.0017026
8.86472,8.81864,0.00170264
8.86712,8.81864,0.00170268
8.865680000000001,8.817680000000001,0.00170272
8.86664,8.81528,0.00170276
8.86424,8.81672,0.0017028
8.86616,8.81816,0.0017028400000000002
8.86856,8.81816,0.0017028800000000001
8.863760000000001,8.815760000000001,0.0017029200000000001
8.86712,8.81912,0.00170296
8.867600000000001,8.817680000000001,0.001703
8.86904,8.81528,0.00170304
8.865680000000001,8.81912,0.00170308
8.86712,8.815760000000001,0.00170312
8.865680000000001,8.8148,0.00170316
8.86616,8.81672,0.0017032
8.865680000000001,8.819600000000001,0.0017032400000000002
8.8652,8.817680000000001,0.0017032800000000002
8.86664,8.8172,0.0017033200000000001
8.865680000000001,8.817680000000001,0.0017033600000000001
8.865680000000001,8.81624,0.0017034
8.86616,8.8172,0.00170344
8.86328,8.81816,0.00170348
