y,time
9.1116,0.00167
9.1112,0.0016700200000000001
9.1112,0.00167004
9.112,0.0016700600000000001
9.1108,0.00167008
9.1108,0.0016701
9.112,0.00167012
9.1108,0.00167014
9.113199999999999,0.00167016
9.1128,0.00167018
9.1112,0.0016702
9.1116,0.00167022
9.1112,0.0016702400000000001
9.11,0.00167026
9.112,0.0016702800000000001
9.112,0.0016703
9.1112,0.00167032
9.1124,0.00167034
9.1108,0.00167036
9.1116,0.00167038
9.112,0.0016704
9.1108,0.0016704200000000002
9.1128,0.00167044
9.1124,0.0016704600000000001
9.1124,0.00167048
9.11,0.0016705000000000001
9.112,0.00167052
9.1128,0.00167054
9.1124,0.00167056
9.1116,0.00167058
9.1116,0.0016706
9.112,0.00167062
9.1116,0.0016706400000000001
9.1112,0.00167066
9.1116,0.0016706800000000001
9.1116,0.0016707
9.1112,0.00167072
9.1108,0.00167074
9.1116,0.00167076
9.113199999999999,0.00167078
9.1112,0.0016708
9.1128,0.00167082
9.112,0.00167084
9.1116,0.0016708600000000001
9.112,0.00167088
9.1112,0.0016709000000000001
9.1116,0.00167092
9.1112,0.00167094
9.1124,0.00167096
9.1112,0.00167098
9.1108,0.001671
9.1108,0.00167102
9.1096,0.00167104
9.1124,0.00167106
9.112,0.0016710800000000001
9.112,0.0016711
9.1116,0.0016711200000000001
9.1104,0.00167114
9.1104,0.00167116
9.112,0.00167118
9.1128,0.0016712
9.1112,0.00167122
9.1112,0.00167124
9.113199999999999,0.0016712600000000001
9.1128,0.00167128
9.1124,0.0016713000000000001
9.1108,0.00167132
9.1112,0.0016713400000000001
9.1128,0.00167136
9.1112,0.00167138
9.112,0.0016714
9.1104,0.00167142
9.1124,0.00167144
9.1112,0.00167146
9.1108,0.0016714800000000001
9.112,0.0016715
9.112,0.0016715200000000001
9.1124,0.00167154
9.1112,0.00167156
9.1108,0.00167158
9.112,0.0016716
9.1112,0.00167162
9.1112,0.00167164
9.1116,0.00167166
9.1112,0.00167168
9.112,0.0016717000000000001
9.1116,0.00167172
9.112,0.0016717400000000001
9.1124,0.00167176
9.1116,0.00167178
9.1128,0.0016718
9.1128,0.00167182
9.1116,0.00167184
9.1124,0.00167186
9.1124,0.00167188
9.1108,0.0016719
9.1128,0.0016719200000000001
9.1128,0.00167194
9.112,0.0016719600000000001
9.1128,0.00167198
9.1112,0.001672
9.112,0.00167202
9.1104,0.00167204
9.1136,0.00167206
9.113199999999999,0.00167208
9.1116,0.0016721000000000001
9.112,0.00167212
9.1128,0.0016721400000000001
9.1116,0.00167216
9.112,0.00167218
9.1124,0.0016722
9.1124,0.00167222
9.1124,0.00167224
9.1124,0.00167226
9.1108,0.00167228
9.113199999999999,0.0016723
9.1112,0.0016723200000000001
9.1108,0.00167234
9.1124,0.0016723600000000001
9.1116,0.00167238
9.112,0.0016724
9.1112,0.00167242
9.1124,0.00167244
9.1124,0.00167246
9.1128,0.00167248
9.1112,0.0016725
9.112,0.00167252
9.1108,0.0016725400000000001
9.112,0.00167256
9.1128,0.0016725800000000001
9.1136,0.0016726
9.113199999999999,0.00167262
9.1128,0.00167264
9.113199999999999,0.00167266
9.1112,0.00167268
9.1136,0.0016727
9.1112,0.00167272
9.1112,0.00167274
9.1112,0.0016727600000000001
9.113199999999999,0.00167278
9.1116,0.0016728000000000001
9.1124,0.00167282
9.1128,0.00167284
9.1124,0.00167286
9.1112,0.00167288
9.113999999999999,0.0016729
9.1116,0.00167292
9.1112,0.0016729400000000001
9.112,0.00167296
9.1128,0.0016729800000000001
9.112,0.001673
9.1124,0.00167302
9.1112,0.00167304
9.1116,0.00167306
9.1112,0.00167308
9.1116,0.0016731
9.1124,0.00167312
9.1116,0.00167314
9.1116,0.0016731600000000001
9.1108,0.00167318
9.1124,0.0016732000000000001
9.1124,0.00167322
9.113199999999999,0.00167324
9.1116,0.00167326
9.1104,0.00167328
9.1112,0.0016733
9.1108,0.00167332
9.1112,0.00167334
9.1128,0.00167336
9.1116,0.0016733800000000001
9.1104,0.0016734
9.1128,0.0016734200000000001
9.1124,0.00167344
9.1116,0.00167346
9.1108,0.00167348
9.1116,0.0016735
9.1112,0.00167352
9.1112,0.00167354
9.113999999999999,0.0016735600000000002
9.1108,0.00167358
9.1124,0.0016736000000000001
9.1116,0.00167362
9.1112,0.0016736400000000001
9.1116,0.00167366
9.1104,0.00167368
9.1116,0.0016737
9.1116,0.00167372
9.112,0.00167374
9.1116,0.00167376
9.1112,0.0016737800000000001
9.1112,0.0016738
9.1124,0.0016738200000000001
9.112,0.00167384
9.1128,0.00167386
9.1108,0.00167388
9.112,0.0016739
9.1124,0.00167392
9.1124,0.00167394
9.113199999999999,0.00167396
9.1108,0.00167398
9.1136,0.0016740000000000001
9.112,0.00167402
9.1116,0.0016740400000000001
9.1124,0.00167406
9.1128,0.00167408
9.1116,0.0016741
9.1116,0.00167412
9.1112,0.00167414
9.113999999999999,0.00167416
9.1124,0.00167418
9.112,0.0016742
9.113999999999999,0.0016742200000000001
9.1116,0.00167424
9.112,0.0016742600000000001
9.112,0.00167428
9.1124,0.0016743
9.1124,0.00167432
9.1116,0.00167434
9.1128,0.00167436
9.112,0.00167438
9.1112,0.0016744000000000002
9.1124,0.00167442
9.1116,0.0016744400000000001
9.112,0.00167446
9.1124,0.0016744800000000001
9.112,0.0016745
9.1112,0.00167452
9.113199999999999,0.00167454
9.1112,0.00167456
9.1116,0.00167458
9.1128,0.0016746
9.1116,0.0016746200000000001
9.1116,0.00167464
9.1124,0.0016746600000000001
9.1116,0.00167468
9.1116,0.0016747
9.1128,0.00167472
9.1128,0.00167474
9.1116,0.00167476
9.1128,0.00167478
9.1112,0.0016748
9.1108,0.00167482
9.1112,0.0016748400000000001
9.1112,0.00167486
9.1124,0.0016748800000000001
9.1112,0.0016749
9.1116,0.00167492
9.1136,0.00167494
9.112,0.00167496
9.1112,0.00167498
9.113199999999999,0.001675
9.1116,0.00167502
9.112,0.00167504
9.112,0.0016750600000000001
9.113999999999999,0.00167508
9.113199999999999,0.0016751000000000001
9.1116,0.00167512
9.112,0.00167514
9.112,0.00167516
9.1124,0.00167518
9.1128,0.0016752
9.112,0.00167522
9.112,0.0016752400000000001
9.1108,0.00167526
9.1136,0.0016752800000000001
9.1124,0.0016753
9.113199999999999,0.00167532
9.1112,0.00167534
9.1128,0.00167536
9.113199999999999,0.00167538
9.112,0.0016754
9.1124,0.00167542
9.1124,0.00167544
9.1108,0.0016754600000000001
9.1128,0.00167548
9.1108,0.0016755000000000001
9.112,0.00167552
9.1128,0.00167554
9.1116,0.00167556
9.1128,0.00167558
9.1112,0.0016756
9.1116,0.00167562
9.1116,0.00167564
9.1116,0.00167566
9.1112,0.0016756800000000001
9.113199999999999,0.0016757
9.112,0.0016757200000000001
9.1116,0.00167574
9.1116,0.00167576
9.1124,0.00167578
9.1116,0.0016758
9.1116,0.00167582
9.1116,0.00167584
9.1112,0.00167586
9.1124,0.00167588
9.1124,0.0016759000000000001
9.1108,0.00167592
9.1124,0.0016759400000000001
9.112,0.00167596
9.113199999999999,0.00167598
9.1116,0.001676
9.1124,0.00167602
9.1136,0.00167604
9.1112,0.00167606
9.112,0.0016760800000000001
9.1124,0.0016761
9.1112,0.0016761200000000001
9.113199999999999,0.00167614
9.1116,0.00167616
9.1124,0.00167618
9.1116,0.0016762
9.1108,0.00167622
9.1108,0.00167624
9.1116,0.00167626
9.112,0.00167628
9.1112,0.0016763000000000001
9.1116,0.00167632
9.1116,0.0016763400000000001
9.1112,0.00167636
9.112,0.00167638
