x,time
7.002976,0.000862
6.999349333,0.00086204
7.001162667,0.00086208
7.001525333,0.00086212
7.002976,0.00086216
7.001525333,0.0008622
7.000437333,0.00086224
6.999712,0.00086228
7.000437333,0.00086232
7.002613333,0.00086236
7.002976,0.0008624
7.001162667,0.00086244
7.002976,0.00086248
7.002976,0.00086252
7.004789333,0.00086256
7.000074667,0.0008626
7.001888,0.00086264
7.003338667,0.00086268
7.002613333,0.00086272
7.0008,0.00086276
7.001162667,0.0008628
7.001525333,0.00086284
7.001888,0.00086288
7.003701333,0.00086292
7.000437333,0.00086296
7.001525333,0.000863
7.002976,0.00086304
7.003338667,0.00086308
7.001888,0.00086312
7.0008,0.00086316
7.003701333,0.0008632
7.002613333,0.00086324
6.999712,0.00086328
7.001888,0.00086332
7.001888,0.00086336
7.001525333,0.0008634
7.0008,0.00086344
7.0008,0.00086348
6.998986667,0.00086352
7.002613333,0.00086356
7.004064,0.0008636
7.001162667,0.00086364
7.000437333,0.00086368
7.001525333,0.00086372
7.0008,0.00086376
7.0008,0.0008638
7.001888,0.00086384
7.003701333,0.00086388
7.002250667,0.00086392
7.000074667,0.00086396
7.001162667,0.000864
7.003338667,0.00086404
7.000437333,0.00086408
7.001162667,0.00086412
7.0008,0.00086416
7.001888,0.0008642
7.000437333,0.00086424
7.000074667,0.00086428
7.000074667,0.00086432
7.002250667,0.00086436
7.001162667,0.0008644
7.000074667,0.00086444
7.000437333,0.00086448
6.999712,0.00086452
7.0008,0.00086456
7.001525333,0.0008646
7.002613333,0.00086464
7.004426667,0.00086468
7.001525333,0.00086472
7.001888,0.00086476
7.002613333,0.0008648
7.001525333,0.00086484
7.0008,0.00086488
7.0008,0.00086492
7.001888,0.00086496
7.000437333,0.000865
7.000437333,0.00086504
7.001162667,0.00086508
7.0008,0.00086512
7.004064,0.00086516
7.001525333,0.0008652
7.002613333,0.00086524
7.001162667,0.00086528
7.002613333,0.00086532
6.998624,0.00086536
7.002613333,0.0008654
7.002250667,0.00086544
7.001525333,0.00086548
7.0008,0.00086552
7.001162667,0.00086556
7.001525333,0.0008656
6.999349333,0.00086564
7.003338667,0.00086568
7.003338667,0.00086572
7.001525333,0.00086576
7.002976,0.0008658
7.001162667,0.00086584
7.000074667,0.00086588
7.002613333,0.00086592
7.002250667,0.00086596
7.001525333,0.000866
7.0008,0.00086604
7.002613333,0.00086608
7.001525333,0.00086612
7.001525333,0.00086616
7.002976,0.0008662
