x,time
6.936553333,0.000862
6.937133333,0.00086204
6.93694,0.00086208
6.93578,0.00086212
6.935973333,0.00086216
6.93636,0.0008622
6.936166667,0.00086224
6.937906667,0.00086228
6.936553333,0.00086232
6.93462,0.00086236
6.937133333,0.0008624
6.936746667,0.00086244
6.937326667,0.00086248
6.935973333,0.00086252
6.938293333,0.00086256
6.937906667,0.0008626
6.936746667,0.00086264
6.937326667,0.00086268
6.936553333,0.00086272
6.93752,0.00086276
6.93752,0.0008628
6.937133333,0.00086284
6.936553333,0.00086288
6.936553333,0.00086292
6.937133333,0.00086296
6.938486667,0.000863
6.93694,0.00086304
6.936746667,0.00086308
6.937906667,0.00086312
6.937326667,0.00086316
6.93636,0.0008632
6.937713333,0.00086324
6.937326667,0.00086328
6.93694,0.00086332
6.937713333,0.00086336
6.937133333,0.0008634
6.937133333,0.00086344
6.936746667,0.00086348
6.937133333,0.00086352
6.937326667,0.00086356
6.937133333,0.0008636
6.93694,0.00086364
6.935973333,0.00086368
6.936746667,0.00086372
6.93636,0.00086376
6.9381,0.0008638
6.936166667,0.00086384
6.93752,0.00086388
6.93752,0.00086392
6.937133333,0.00086396
6.93752,0.000864
6.93752,0.00086404
6.93694,0.00086408
6.93752,0.00086412
6.937906667,0.00086416
6.9381,0.0008642
6.93752,0.00086424
6.93868,0.00086428
6.937326667,0.00086432
6.938486667,0.00086436
6.939646667,0.0008644
6.937326667,0.00086444
6.936553333,0.00086448
6.935973333,0.00086452
6.93694,0.00086456
6.93752,0.0008646
6.9381,0.00086464
6.9381,0.00086468
6.938293333,0.00086472
6.93694,0.00086476
6.937326667,0.0008648
6.93752,0.00086484
6.93694,0.00086488
6.937326667,0.00086492
6.93752,0.00086496
6.935586667,0.000865
6.93636,0.00086504
6.936553333,0.00086508
6.93694,0.00086512
6.93578,0.00086516
6.93578,0.0008652
6.937133333,0.00086524
6.935393333,0.00086528
6.935973333,0.00086532
6.93578,0.00086536
6.93694,0.0008654
6.935973333,0.00086544
6.935973333,0.00086548
6.93578,0.00086552
6.935973333,0.00086556
6.936553333,0.0008656
6.936166667,0.00086564
6.936166667,0.00086568
6.936166667,0.00086572
6.93694,0.00086576
6.936553333,0.0008658
6.936553333,0.00086584
6.937906667,0.00086588
6.937326667,0.00086592
6.937133333,0.00086596
6.9381,0.000866
