voltage,amplitude
8.878956952376736,0.701611851137385
8.929715063829796,0.6971771798324935
8.94657325067022,0.6963041426185093
8.945842119119643,0.6962730364743102
8.931473201622538,0.6967562597167929
9.636770386018934,0.6289559214650992
9.634054786111458,0.6252824566217081
9.678633085692232,0.613397722023024
9.08798249033924,0.697389692098057
9.154182014650496,0.6895799137224558
9.163891807216132,0.6877768370331008
9.699589615732142,0.6165224552573727
9.643521718792371,0.6292817228093189
9.021381942257952,0.6950767774233677
8.950898413653785,0.6976661799323602
8.990214849727668,0.6962809492726925
8.961179384975114,0.6967344297575407
9.169310868859982,0.6842881064496806
9.329042724545882,0.6752809347601105
9.64060397675964,0.6298820298395325
9.522450848428024,0.6578169926848055
9.529744758789654,0.6531902339961401
9.501076422669298,0.659263907659436
8.13011220101737,0.7118427729066509
8.174658112522362,0.7067900224132823
8.149651638408285,0.7072695243444413
6.819397368019538,0.6144785139021242
6.805690541943321,0.6071370695224297
6.850101523573806,0.6156129460351862
6.982431894118002,0.6367353074648336
6.917166653946222,0.6258411813912246
7.669798683353691,0.6911702288553893
7.68840043904119,0.6924882156113531
7.735065409718013,0.6943734149215525
8.932319927817392,0.6954352444174821
8.942222494032773,0.6979715198273075
8.990002401028537,0.6960994424863997
7.897813263097802,0.7009797405593845
7.935625308049916,0.701146323252133
7.956132201970299,0.7019904419382971
9.05584524489124,0.6947513416784467
8.958178120108132,0.6973748983727006
8.183757201291145,0.7074864986004035
8.160146807652717,0.7073385214246263
7.755803943282672,0.7028163341797359
7.784982839098212,0.6972365593827629
7.797990970951199,0.6976381293410957
7.727816249538965,0.6947375179746547
7.193683579180367,0.6600551410518487
7.144116286781552,0.650089351560017
8.156573721706732,0.7093968840629704
8.183807863326718,0.7087260551229899
8.452501869459471,0.7078541103806721
8.372649025056731,0.7109283233702154
8.460960799740086,0.7112997638086398
8.550303062157502,0.7110563223915586
8.638602725490173,0.709644246424298
8.599761345359278,0.7097880899255851
8.641902916566405,0.7085881441495128
8.646942693491537,0.7070437880374753
8.824601137389639,0.6993833040290274
8.796824638867252,0.7048748754459429
8.714851699461862,0.7068935056052577
