,time,hallprobe,pulsedwire
0,0.0017389870190103658,3.7372690449615478,3.7478443460655244
1,0.001739374053405267,3.737297000603512,3.7478453703649772
2,0.0017397610882203926,3.7373250133774274,3.747855969443831
3,0.001740148123459065,3.737353083735024,3.747857812494706
4,0.001740535159124607,3.7373812121280334,3.747860417983213
5,0.0017409221952203414,3.737409399008188,3.7478631800955804
6,0.0017413092317495904,3.7374376448272177,3.747873733809426
7,0.001741696268715677,3.7374659500368552,3.747879810452042
8,0.0017420833061219236,3.737494315088832,3.7478848469167767
9,0.0017424703439716527,3.737522740434878,3.7478894139470307
10,0.0017428573822681876,3.7375512265267257,3.7478926631277316
11,0.0017432444210148503,3.7375797738161065,3.7478917193923986
12,0.0017436314602149636,3.7376083827547513,3.7478965261583523
13,0.00174401849987185,3.737637053794392,3.747899046103658
14,0.0017444055399888326,3.7376657873867596,3.747903423918966
15,0.0017447925805692335,3.737694583983586,3.7479048477767374
16,0.001745179621616376,3.7377234440366016,3.747904698858735
17,0.0017455666631335817,3.7377523679975386,3.7479081785516897
18,0.001745953705124174,3.7377813563181284,3.7479040514658646
19,0.0017463407475914756,3.7378104094501023,3.747911524069
20,0.001746727790538809,3.7378395278451917,3.7479168202420983
21,0.0017471148339694962,3.7378687119551275,3.7479193370214086
22,0.0017475018778868607,3.7378979622316417,3.7479258471616586
23,0.001747888922294225,3.737927279126465,3.7479311593380893
24,0.001748275967194911,3.73795666309133,3.7479329772671126
25,0.0017486630125916464,3.7379861144969606,3.7479279952944413
26,0.001749050058519134,3.7380156380614795,3.747928537148622
27,0.001749437104917658,3.7380452256661365,3.7479312669093274
28,0.0017498241518125704,3.7380748807576922,3.7479329379892534
29,0.0017502111992258528,3.738104606324718,3.7479350600282824
30,0.0017505982471026525,3.7381343949095944,3.7479376907274875
31,0.001750985295546232,3.7381642605514944,3.7479375046062247
32,0.0017513723444952073,3.7381941949049398,3.747945801420346
33,0.0017517593939732111,3.738224201182891,3.7479451280927276
34,0.0017521464439992367,3.7382542819676003,3.747947406716332
35,0.0017525334945177895,3.7382844297142555,3.7479528724648676
36,0.0017529205455573378,3.7383146482933176,3.747951947556984
37,0.0017533075971431606,3.7383449411415626,3.7479544641764306
38,0.0017536946492958535,3.738375311059134,3.747963668506661
39,0.001754081702034835,3.73840576068606,3.747967717393938
40,0.0017544687552949597,3.738436281165442,3.747976427127
41,0.0017548558091033874,3.738466876189857,3.7479882493195245
42,0.0017552428634111338,3.7384975390995434,3.7479918863516666
43,0.0017556299183263298,3.73852828459555,3.747999452781801
44,0.0017560169737923493,3.7385591049792373,3.74800467902048
45,0.001756404029828604,3.738590002889722,3.7480129303689353
46,0.0017567910864667515,3.7386209826310615,3.748017882974358
47,0.0017571781436461708,3.7386520359614828,3.748024775645973
48,0.0017575652014705358,3.738683176976022,3.748032722422649
49,0.0017579522598062374,3.7387143875097886,3.748039930198584
50,0.0017583393187563061,3.7387456815703346,3.748046977559748
51,0.0017587263783470706,3.7387770627372356,3.7480583998946
52,0.0017591134385214024,3.738808523243504,3.7480655405477776
53,0.0017595004992254169,3.7388400557632218,3.7480751500973533
54,0.0017598875605778087,3.738871676433641,3.7480844040469714
55,0.0017602746225157785,3.738903376716818,3.748093766220712
56,0.0017606616850769164,3.7389351617233064,3.748099972096137
57,0.001761048748278254,3.7389670337687146,3.7481094248543005
58,0.0017614358121397122,3.7389989955614173,3.7481227098071015
59,0.0017618228765778675,3.739031035759408,3.7481358380452905
60,0.0017622099417127213,3.7390631706776434,3.748150555374979
61,0.001762597007401368,3.7390953808872633,3.7481645698144543
62,0.0017629840738148652,3.739127689644577,3.748175441145591
63,0.0017633711408831013,3.739160087417413,3.748190786461673
64,0.0017637582085443418,3.7391925658127234,3.748205056358361
65,0.0017641452768894787,3.7392251371877006,3.7482137378845355
66,0.0017645323458400208,3.739257790871052,3.7482301108187346
67,0.0017649194154865239,3.739290539174405,3.748242311220041
68,0.0017653064857665844,3.7393233736135816,3.7482536930498624
69,0.0017656935566979649,3.7393562966035194,3.7482651983148534
70,0.0017660806282897143,3.73938930937447,3.748276990305656
71,0.001766467700631048,3.7394224240558005,3.748291428214548
72,0.0017668547736582217,3.7394556319810737,3.7483019810439515
73,0.0017672418473876576,3.7394889353829677,3.748310810493212
74,0.0017676289218270633,3.739522335309475,3.7483219816010855
75,0.001768015996902976,3.7395558217727762,3.748335860183791
76,0.001768403072927683,3.739589437230214,3.748355544640698
77,0.001768790149143087,3.739623078614061,3.7483723020352064
78,0.0017691772263910717,3.739656860383261,3.748384623470224
79,0.001769564304706894,3.7396907873312384,3.7483990045936917
80,0.0017699513832338575,3.7397247429850817,3.7484136788714846
81,0.0017703384628765843,3.739758850333478,3.748426778940595
82,0.0017707255428478198,3.7397930023445562,3.7484352570991777
83,0.00177111262396096,3.739827309604247,3.748452489211291
84,0.0017714997054988624,3.73986167461285,3.748465394409671
85,0.0017718867882732473,3.7398962077284703,3.7484821855548076
86,0.0017722738714770864,3.7399307992309105,3.7484985157991586
87,0.0017726609551800899,3.739965458597663,3.748511904571378
88,0.0017730480401644852,3.7400002921771254,3.7485276464119583
89,0.001773435125682632,3.740035198323194,3.7485403390609724
90,0.0017738222117918395,3.740070184827461,3.7485535054201233
91,0.0017742092986269033,3.7401052700161155,3.7485680735283564
92,0.001774596386150555,3.7401404488223444,3.748577935204659
93,0.0017749834744754706,3.740175736565056,3.748590072823677
94,0.001775370564355725,3.740211235765199,3.748610246483721
95,0.0017757576549279862,3.7402468290476785,3.7486273162097947
