,xyfit_xdata,xyfit_ydata,yyfit_xdata,yyfit_ydata
0,-1500.0,1.1031634584251255,-1500.0,0.9446641540247646
1,-1469.6969696969697,1.0990698016705436,-1469.6969696969697,0.9469364428181759
2,-1439.3939393939395,1.0950590182406235,-1439.3939393939395,0.9491610942303814
3,-1409.090909090909,1.0911311081353652,-1409.090909090909,0.951338108261381
4,-1378.7878787878788,1.0872860713547687,-1378.7878787878788,0.9534674849111746
5,-1348.4848484848485,1.083523907898834,-1348.4848484848485,0.9555492241797624
6,-1318.1818181818182,1.079844617767561,-1318.1818181818182,0.9575833260671442
7,-1287.878787878788,1.0762482009609498,-1287.878787878788,0.9595697905733203
8,-1257.5757575757575,1.0727346574790004,-1257.5757575757575,0.9615086176982903
9,-1227.2727272727273,1.0693039873217127,-1227.2727272727273,0.9633998074420544
10,-1196.969696969697,1.0659561904890869,-1196.969696969697,0.9652433598046127
11,-1166.6666666666665,1.0626912669811228,-1166.6666666666665,0.9670392747859652
12,-1136.3636363636365,1.0595092167978206,-1136.3636363636365,0.9687875523861116
13,-1106.060606060606,1.05641003993918,-1106.060606060606,0.9704881926050521
14,-1075.7575757575758,1.0533937364052015,-1075.7575757575758,0.9721411954427869
15,-1045.4545454545455,1.0504603061958846,-1045.4545454545455,0.9737465608993155
16,-1015.1515151515151,1.0476097493112293,-1015.1515151515151,0.9753042889746385
17,-984.8484848484849,1.044842065751236,-984.8484848484849,0.9768143796687554
18,-954.5454545454545,1.0421572555159044,-954.5454545454545,0.9782768329816665
19,-924.2424242424242,1.0395553186052346,-924.2424242424242,0.9796916489133717
20,-893.9393939393939,1.0370362550192265,-893.9393939393939,0.981058827463871
21,-863.6363636363636,1.0346000647578804,-863.6363636363636,0.9823783686331643
22,-833.3333333333333,1.0322467478211959,-833.3333333333333,0.9836502724212517
23,-803.030303030303,1.0299763042091732,-803.030303030303,0.9848745388281333
24,-772.7272727272727,1.0277887339218124,-772.7272727272727,0.986051167853809
25,-742.4242424242424,1.0256840369591131,-742.4242424242424,0.9871801594982788
26,-712.1212121212121,1.0236622133210758,-712.1212121212121,0.9882615137615426
27,-681.8181818181818,1.0217232630077002,-681.8181818181818,0.9892952306436006
28,-651.5151515151515,1.0198671860189865,-651.5151515151515,0.9902813101444526
29,-621.2121212121211,1.0180939823549346,-621.2121212121211,0.9912197522640988
30,-590.9090909090909,1.0164036520155444,-590.9090909090909,0.992110557002539
31,-560.6060606060605,1.014796195000816,-560.6060606060605,0.9929537243597734
32,-530.3030303030303,1.0132716113107494,-530.3030303030303,0.9937492543358019
33,-500.0,1.0118299009453444,-500.0,0.9944971469306244
34,-469.69696969696975,1.0104710639046013,-469.69696969696975,0.995197402144241
35,-439.39393939393926,1.00919510018852,-439.39393939393926,0.9958500199766518
36,-409.090909090909,1.0080020097971005,-409.090909090909,0.9964550004278566
37,-378.78787878787875,1.006891792730343,-378.78787878787875,0.9970123434978556
38,-348.4848484848485,1.005864448988247,-348.4848484848485,0.9975220491866486
39,-318.181818181818,1.0049199785708127,-318.181818181818,0.9979841174942358
40,-287.87878787878776,1.0040583814780404,-287.87878787878776,0.998398548420617
41,-257.5757575757575,1.0032796577099297,-257.5757575757575,0.9987653419657924
42,-227.27272727272725,1.0025838072664808,-227.27272727272725,0.9990844981297617
43,-196.969696969697,1.0019708301476937,-196.969696969697,0.9993560169125253
44,-166.66666666666652,1.0014407263535685,-166.66666666666652,0.999579898314083
45,-136.36363636363626,1.0009934958841051,-136.36363636363626,0.9997561423344348
46,-106.060606060606,1.0006291387393034,-106.060606060606,0.9998847489735806
47,-75.75757575757575,1.0003476549191634,-75.75757575757575,0.9999657182315205
48,-45.454545454545496,1.0001490444236854,-45.454545454545496,0.9999990501082545
49,-15.151515151515014,1.0000333072528689,-15.151515151515014,0.9999847446037827
50,15.151515151515241,1.0000004434067145,15.151515151515241,0.9999228017181049
51,45.454545454545496,1.0000504528852217,45.454545454545496,0.9998132214512213
52,75.75757575757575,1.0001833356883905,75.75757575757575,0.9996560038031317
53,106.06060606060623,1.0003990918162213,106.06060606060623,0.9994511487738362
54,136.3636363636365,1.0006977212687138,136.3636363636365,0.9991986563633348
55,166.66666666666674,1.0010792240458681,166.66666666666674,0.9988985265716276
56,196.969696969697,1.0015436001476843,196.969696969697,0.9985507593987144
57,227.27272727272725,1.0020908495741623,227.27272727272725,0.9981553548445954
58,257.57575757575773,1.0027209723253019,257.57575757575773,0.9977123129092704
59,287.878787878788,1.0034339684011033,287.878787878788,0.9972216335927395
60,318.18181818181824,1.0042298378015666,318.18181818181824,0.9966833168950028
