y,time
5.6798,0.00167
5.68,0.0016700200000000001
5.6796,0.00167004
5.6796,0.0016700600000000001
5.6806,0.00167008
5.6806,0.0016701
5.6794,0.00167012
5.6802,0.00167014
5.6804,0.00167016
5.68,0.00167018
5.6798,0.0016702
5.6802,0.00167022
5.6804,0.0016702400000000001
5.681,0.00167026
5.6804,0.0016702800000000001
5.6806,0.0016703
5.6796,0.00167032
5.6796,0.00167034
5.6804,0.00167036
5.6802,0.00167038
5.6802,0.0016704
5.6802,0.0016704200000000002
5.6802,0.00167044
5.6794,0.0016704600000000001
5.6802,0.00167048
5.68,0.0016705000000000001
5.6796,0.00167052
5.6806,0.00167054
5.6804,0.00167056
5.6808,0.00167058
5.6794,0.0016706
5.6806,0.00167062
5.68,0.0016706400000000001
5.68,0.00167066
5.6812,0.0016706800000000001
5.681,0.0016707
5.6804,0.00167072
5.6804,0.00167074
5.68,0.00167076
5.6792,0.00167078
5.6806,0.0016708
5.6804,0.00167082
5.6808,0.00167084
5.6802,0.0016708600000000001
5.6802,0.00167088
5.68,0.0016709000000000001
5.681,0.00167092
5.6806,0.00167094
5.6804,0.00167096
5.68,0.00167098
5.6804,0.001671
5.6804,0.00167102
5.681,0.00167104
5.68,0.00167106
5.681,0.0016710800000000001
5.6788,0.0016711
5.6792,0.0016711200000000001
5.6808,0.00167114
5.6796,0.00167116
5.6798,0.00167118
5.6798,0.0016712
5.6806,0.00167122
5.6802,0.00167124
5.6808,0.0016712600000000001
5.6804,0.00167128
5.68,0.0016713000000000001
5.6802,0.00167132
5.6796,0.0016713400000000001
5.68,0.00167136
5.6804,0.00167138
5.6804,0.0016714
5.6796,0.00167142
5.6804,0.00167144
5.6804,0.00167146
5.6796,0.0016714800000000001
5.6804,0.0016715
5.6804,0.0016715200000000001
5.6804,0.00167154
5.6808,0.00167156
5.6806,0.00167158
5.6804,0.0016716
5.6806,0.00167162
5.6798,0.00167164
5.6794,0.00167166
5.6804,0.00167168
5.6804,0.0016717000000000001
5.6802,0.00167172
5.6806,0.0016717400000000001
5.6798,0.00167176
5.68,0.00167178
5.6804,0.0016718
5.6804,0.00167182
5.6814,0.00167184
5.6808,0.00167186
5.6804,0.00167188
5.68,0.0016719
5.6798,0.0016719200000000001
5.6796,0.00167194
5.6812,0.0016719600000000001
5.681,0.00167198
5.6804,0.001672
5.6806,0.00167202
5.681,0.00167204
5.6804,0.00167206
5.68,0.00167208
5.6802,0.0016721000000000001
5.6806,0.00167212
5.6808,0.0016721400000000001
5.6806,0.00167216
5.6806,0.00167218
5.6802,0.0016722
5.6804,0.00167222
5.6804,0.00167224
5.6808,0.00167226
5.6806,0.00167228
5.6814,0.0016723
5.6808,0.0016723200000000001
5.6808,0.00167234
5.68,0.0016723600000000001
5.6808,0.00167238
5.6804,0.0016724
5.6802,0.00167242
5.6808,0.00167244
5.681,0.00167246
5.6794,0.00167248
5.6806,0.0016725
5.6804,0.00167252
5.6812,0.0016725400000000001
5.6806,0.00167256
5.6802,0.0016725800000000001
5.6798,0.0016726
5.68,0.00167262
5.6798,0.00167264
5.6814,0.00167266
5.6815999999999995,0.00167268
5.6804,0.0016727
5.681,0.00167272
5.6804,0.00167274
5.6806,0.0016727600000000001
5.68,0.00167278
5.6804,0.0016728000000000001
5.681,0.00167282
5.6808,0.00167284
5.6806,0.00167286
5.6802,0.00167288
5.6802,0.0016729
5.6796,0.00167292
5.6806,0.0016729400000000001
5.68,0.00167296
5.681,0.0016729800000000001
5.6804,0.001673
5.6808,0.00167302
5.6806,0.00167304
5.6804,0.00167306
5.6798,0.00167308
5.6792,0.0016731
5.6802,0.00167312
5.6806,0.00167314
5.6806,0.0016731600000000001
5.6794,0.00167318
5.6812,0.0016732000000000001
5.6804,0.00167322
5.6808,0.00167324
5.678999999999999,0.00167326
5.6806,0.00167328
5.6792,0.0016733
5.6804,0.00167332
5.6804,0.00167334
5.6806,0.00167336
5.68,0.0016733800000000001
5.6804,0.0016734
5.6804,0.0016734200000000001
5.6804,0.00167344
5.6804,0.00167346
5.6814,0.00167348
5.68,0.0016735
5.6804,0.00167352
5.6806,0.00167354
5.681,0.0016735600000000002
5.6806,0.00167358
5.6798,0.0016736000000000001
5.6802,0.00167362
5.6798,0.0016736400000000001
5.6794,0.00167366
5.6808,0.00167368
5.681,0.0016737
5.6804,0.00167372
5.6798,0.00167374
5.6806,0.00167376
5.6806,0.0016737800000000001
5.6804,0.0016738
5.6804,0.0016738200000000001
5.6798,0.00167384
5.6802,0.00167386
5.6812,0.00167388
5.6806,0.0016739
5.6802,0.00167392
5.6802,0.00167394
5.681,0.00167396
5.6798,0.00167398
5.6804,0.0016740000000000001
5.6808,0.00167402
5.6796,0.0016740400000000001
5.68,0.00167406
5.681,0.00167408
5.6806,0.0016741
5.6804,0.00167412
5.6798,0.00167414
5.6808,0.00167416
5.6802,0.00167418
5.6806,0.0016742
5.6806,0.0016742200000000001
5.6798,0.00167424
5.6804,0.0016742600000000001
5.6802,0.00167428
5.6808,0.0016743
5.6804,0.00167432
5.6794,0.00167434
5.6794,0.00167436
5.6808,0.00167438
5.6802,0.0016744000000000002
5.6802,0.00167442
5.681,0.0016744400000000001
5.6806,0.00167446
5.6798,0.0016744800000000001
5.6798,0.0016745
5.6792,0.00167452
5.68,0.00167454
5.6798,0.00167456
5.6802,0.00167458
5.6794,0.0016746
5.68,0.0016746200000000001
5.6796,0.00167464
5.6802,0.0016746600000000001
5.678599999999999,0.00167468
5.6792,0.0016747
5.6796,0.00167472
5.68,0.00167474
5.6798,0.00167476
5.6802,0.00167478
5.6794,0.0016748
5.6796,0.00167482
5.6792,0.0016748400000000001
5.6806,0.00167486
5.6798,0.0016748800000000001
5.6806,0.0016749
5.6798,0.00167492
5.678999999999999,0.00167494
5.6812,0.00167496
5.6798,0.00167498
5.6806,0.001675
5.6792,0.00167502
5.6802,0.00167504
5.6798,0.0016750600000000001
5.6804,0.00167508
5.6798,0.0016751000000000001
5.6802,0.00167512
5.68,0.00167514
5.6802,0.00167516
5.6794,0.00167518
5.6804,0.0016752
5.678999999999999,0.00167522
5.6792,0.0016752400000000001
5.6798,0.00167526
5.6798,0.0016752800000000001
5.6794,0.0016753
5.68,0.00167532
5.6798,0.00167534
5.678999999999999,0.00167536
5.68,0.00167538
5.6802,0.0016754
5.6796,0.00167542
5.6798,0.00167544
5.6794,0.0016754600000000001
5.6798,0.00167548
5.6794,0.0016755000000000001
5.6804,0.00167552
5.6798,0.00167554
5.6798,0.00167556
5.678599999999999,0.00167558
5.68,0.0016756
5.6802,0.00167562
5.6792,0.00167564
5.6802,0.00167566
5.6796,0.0016756800000000001
5.6798,0.0016757
5.6802,0.0016757200000000001
5.6796,0.00167574
5.6788,0.00167576
5.6802,0.00167578
5.6796,0.0016758
5.68,0.00167582
5.6808,0.00167584
5.68,0.00167586
5.6806,0.00167588
5.6798,0.0016759000000000001
5.6784,0.00167592
5.6792,0.0016759400000000001
5.68,0.00167596
5.6796,0.00167598
5.68,0.001676
5.6806,0.00167602
5.681,0.00167604
5.6784,0.00167606
5.6804,0.0016760800000000001
5.6796,0.0016761
5.6792,0.0016761200000000001
5.6796,0.00167614
5.6806,0.00167616
5.6802,0.00167618
5.6802,0.0016762
5.6798,0.00167622
5.6802,0.00167624
5.6796,0.00167626
5.6798,0.00167628
5.6804,0.0016763000000000001
5.6792,0.00167632
5.6796,0.0016763400000000001
5.6796,0.00167636
5.6792,0.00167638
5.6794,0.0016764
5.678999999999999,0.00167642
5.6798,0.00167644
5.678999999999999,0.00167646
5.6798,0.00167648
5.6802,0.0016765
5.6808,0.0016765200000000001
5.6808,0.00167654
5.678999999999999,0.0016765600000000001
5.6804,0.00167658
5.6798,0.0016766
5.678999999999999,0.00167662
5.6802,0.00167664
5.68,0.00167666
5.6802,0.00167668
5.6804,0.0016767000000000002
5.678999999999999,0.00167672
5.6792,0.0016767400000000001
5.678999999999999,0.00167676
5.68,0.0016767800000000001
5.681,0.0016768
5.6794,0.00167682
5.6806,0.00167684
5.6792,0.00167686
5.6804,0.00167688
5.6794,0.0016769
5.678999999999999,0.0016769200000000001
5.6796,0.00167694
5.68,0.0016769600000000001
5.6798,0.00167698
5.6796,0.001677
5.6777999999999995,0.00167702
5.6804,0.00167704
5.68,0.00167706
5.6798,0.00167708
5.678999999999999,0.0016771
5.68,0.00167712
5.6788,0.0016771400000000001
5.6806,0.00167716
5.6798,0.0016771800000000001
5.6802,0.0016772
5.6802,0.00167722
5.6806,0.00167724
5.6794,0.00167726
5.6798,0.00167728
5.6808,0.0016773
5.6792,0.00167732
5.6798,0.00167734
5.6798,0.0016773600000000001
5.6796,0.00167738
5.6802,0.0016774000000000001
5.6804,0.00167742
5.68,0.00167744
5.68,0.00167746
5.6798,0.00167748
5.6794,0.0016775
5.6794,0.00167752
5.6806,0.0016775400000000002
5.6806,0.00167756
5.6798,0.0016775800000000001
5.678999999999999,0.0016776
5.678999999999999,0.0016776200000000001
5.678999999999999,0.00167764
5.6804,0.00167766
5.6796,0.00167768
5.6802,0.0016777
5.6806,0.00167772
5.68,0.00167774
5.6792,0.0016777600000000001
5.6792,0.00167778
5.678999999999999,0.0016778000000000001
5.6802,0.00167782
5.6796,0.00167784
5.6798,0.00167786
5.6796,0.00167788
5.6794,0.0016779
5.6806,0.00167792
5.678999999999999,0.00167794
5.6798,0.00167796
5.6808,0.0016779800000000001
5.68,0.001678
5.6794,0.0016780200000000001
5.6806,0.00167804
5.6806,0.00167806
5.6804,0.00167808
5.678599999999999,0.0016781
5.6796,0.00167812
5.6812,0.00167814
5.6806,0.00167816
5.6794,0.00167818
5.6804,0.0016782000000000001
5.681,0.00167822
5.6796,0.0016782400000000001
5.681,0.00167826
5.68,0.00167828
5.6802,0.0016783
5.6806,0.00167832
5.6794,0.00167834
5.6804,0.00167836
5.6792,0.0016783800000000001
5.6802,0.0016784
5.6806,0.0016784200000000001
5.6802,0.00167844
5.6818,0.00167846
5.6812,0.00167848
5.6798,0.0016785
5.6796,0.00167852
5.678999999999999,0.00167854
5.6796,0.00167856
5.6802,0.00167858
5.6798,0.0016786000000000001
5.6812,0.00167862
5.6798,0.0016786400000000001
5.681,0.00167866
5.68,0.00167868
5.6812,0.0016787
5.6814,0.00167872
5.68,0.00167874
5.6802,0.00167876
5.6802,0.00167878
5.6804,0.0016788
5.6808,0.0016788200000000001
5.6796,0.00167884
5.681,0.0016788600000000001
5.6798,0.00167888
5.6798,0.0016789
5.6804,0.00167892
5.6804,0.00167894
5.6798,0.00167896
5.6802,0.00167898
5.68,0.001679
5.6804,0.00167902
5.6804,0.0016790400000000001
5.6792,0.00167906
5.6798,0.0016790800000000001
5.6798,0.0016791
5.6798,0.00167912
5.6808,0.00167914
5.6802,0.00167916
5.681,0.00167918
5.68,0.0016792
5.68,0.0016792200000000001
5.68,0.00167924
5.68,0.0016792600000000001
5.6806,0.00167928
5.68,0.0016793
5.6794,0.00167932
5.6796,0.00167934
5.6792,0.00167936
5.6806,0.00167938
5.6796,0.0016794
5.6804,0.00167942
5.6794,0.0016794400000000001
5.68,0.00167946
5.6798,0.0016794800000000001
5.6798,0.0016795
5.6802,0.00167952
5.68,0.00167954
5.68,0.00167956
5.6806,0.00167958
5.6798,0.0016796
5.6796,0.00167962
5.6804,0.00167964
5.6796,0.0016796600000000001
5.6798,0.00167968
5.6804,0.0016797000000000001
5.68,0.00167972
5.6808,0.00167974
5.68,0.00167976
5.6794,0.00167978
5.68,0.0016798
5.6804,0.00167982
5.6792,0.0016798400000000002
5.6802,0.00167986
5.6796,0.0016798800000000001
5.6798,0.0016799
5.6806,0.0016799200000000001
5.6794,0.00167994
5.68,0.00167996
5.6798,0.00167998
5.6798,0.00168
5.6794,0.00168002
5.6806,0.00168004
5.6808,0.0016800600000000001
5.68,0.00168008
5.6804,0.0016801000000000001
5.6794,0.00168012
5.6796,0.00168014
5.6796,0.00168016
5.6808,0.00168018
5.6794,0.0016802
5.678999999999999,0.00168022
5.6798,0.00168024
5.6802,0.00168026
5.68,0.0016802800000000001
5.6804,0.0016803
5.6796,0.0016803200000000001
5.6792,0.00168034
5.6796,0.00168036
5.6792,0.00168038
5.6796,0.0016804
5.6802,0.00168042
5.6792,0.00168044
5.6806,0.00168046
5.68,0.00168048
5.6798,0.0016805000000000001
5.6792,0.00168052
5.6792,0.0016805400000000001
5.6796,0.00168056
5.68,0.00168058
5.6798,0.0016806
5.6798,0.00168062
5.68,0.00168064
5.6806,0.00168066
5.6796,0.00168068
5.6792,0.0016807
5.68,0.0016807200000000001
5.6796,0.00168074
5.68,0.0016807600000000001
5.681,0.00168078
5.6806,0.0016808
5.6784,0.00168082
5.6804,0.00168084
5.6802,0.00168086
5.6802,0.00168088
5.6794,0.0016809000000000001
5.6804,0.00168092
5.6794,0.0016809400000000001
5.6798,0.00168096
5.6798,0.00168098
5.678999999999999,0.001681
5.68,0.00168102
5.6792,0.00168104
5.6796,0.00168106
5.6806,0.00168108
5.6794,0.0016811
5.6792,0.0016811200000000001
5.6796,0.00168114
5.6798,0.0016811600000000001
5.6798,0.00168118
5.6802,0.0016812
5.6802,0.00168122
5.6802,0.00168124
5.6794,0.00168126
5.6804,0.00168128
5.678999999999999,0.0016813
5.6804,0.00168132
5.678999999999999,0.0016813400000000001
5.6796,0.00168136
5.6806,0.0016813800000000001
5.6802,0.0016814
5.6794,0.00168142
5.6798,0.00168144
5.6798,0.00168146
5.6804,0.00168148
5.6804,0.0016815
5.6796,0.0016815200000000001
5.6798,0.00168154
5.6788,0.0016815600000000001
5.6804,0.00168158
5.678599999999999,0.0016816000000000001
5.678999999999999,0.00168162
5.6798,0.00168164
5.68,0.00168166
5.6802,0.00168168
5.6806,0.0016817
5.6798,0.00168172
5.6808,0.0016817400000000001
5.6794,0.00168176
5.6802,0.0016817800000000001
5.68,0.0016818
5.6806,0.00168182
5.68,0.00168184
5.6796,0.00168186
5.6808,0.00168188
5.6798,0.0016819
5.6804,0.00168192
5.6798,0.00168194
5.68,0.0016819600000000001
5.68,0.00168198
5.6802,0.0016820000000000001
5.6796,0.00168202
5.681,0.00168204
5.6802,0.00168206
5.68,0.00168208
5.6804,0.0016821
5.6788,0.00168212
5.6792,0.00168214
5.6794,0.00168216
5.6796,0.0016821800000000001
5.6788,0.0016822
5.68,0.0016822200000000001
5.678999999999999,0.00168224
5.6798,0.00168226
5.6806,0.00168228
5.6802,0.0016823
5.6794,0.00168232
5.6798,0.00168234
5.681,0.0016823600000000001
5.6794,0.00168238
5.6794,0.0016824000000000001
5.68,0.00168242
5.6802,0.00168244
5.6794,0.00168246
5.6792,0.00168248
5.6808,0.0016825
5.6788,0.00168252
5.6798,0.00168254
5.6796,0.00168256
5.6804,0.0016825800000000001
5.6794,0.0016826
5.6794,0.0016826200000000001
5.6796,0.00168264
5.6802,0.00168266
5.6794,0.00168268
5.6802,0.0016827
5.6796,0.00168272
5.6812,0.00168274
5.68,0.00168276
5.6796,0.00168278
5.6802,0.0016828000000000001
5.6802,0.00168282
5.6804,0.0016828400000000001
5.6794,0.00168286
5.6788,0.00168288
5.6798,0.0016829
5.6788,0.00168292
5.6804,0.00168294
5.6808,0.00168296
5.68,0.0016829800000000002
5.6796,0.001683
5.68,0.0016830200000000001
5.6796,0.00168304
5.6806,0.0016830600000000001
5.68,0.00168308
5.6788,0.0016831
5.68,0.00168312
5.6798,0.00168314
5.6798,0.00168316
5.6802,0.00168318
5.6796,0.0016832000000000001
5.68,0.00168322
5.678999999999999,0.0016832400000000001
5.6796,0.00168326
5.6792,0.00168328
5.6794,0.0016833
5.6794,0.00168332
5.678999999999999,0.00168334
5.6804,0.00168336
