time,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
-0.00375,3.2864,3.3064,3.2904,3.2864,3.2984,3.3064,3.3263999999999996,3.3144,3.2944,3.3064,3.2984,3.2864,3.3064,3.3064,3.2944,3.3144,3.2944,3.3144,3.3304,3.3184
-0.0037489999999999997,3.2864,3.2984,3.2944,3.2984,3.3024,3.3024,3.3263999999999996,3.3144,3.3024,3.3144,3.2984,3.2944,3.3064,3.3064,3.2944,3.3224,3.2904,3.3184,3.3304,3.3263999999999996
-0.003748,3.2864,3.2984,3.2904,3.2904,3.3144,3.3104,3.3263999999999996,3.3224,3.2984,3.3184,3.2944,3.2984,3.3024,3.3024,3.2984,3.3104,3.2944,3.3064,3.3343999999999996,3.3144
-0.003747,3.2784,3.2944,3.2984,3.2944,3.3064,3.3024,3.3263999999999996,3.3144,3.2944,3.3104,3.2984,3.2984,3.3064,3.3024,3.2944,3.3104,3.3064,3.3104,3.3304,3.3224
-0.0037459999999999998,3.2744,3.3024,3.2984,3.2904,3.3064,3.3104,3.3224,3.3144,3.2904,3.3104,3.2984,3.2984,3.3104,3.2984,3.2904,3.3144,3.2944,3.3144,3.3343999999999996,3.3263999999999996
-0.003745,3.2864,3.2984,3.2984,3.2864,3.2984,3.3104,3.3263999999999996,3.3184,3.2984,3.3184,3.2944,3.2944,3.3104,3.3064,3.2944,3.3104,3.2904,3.3104,3.3304,3.3144
-0.003744,3.2824,3.2984,3.3064,3.2944,3.3104,3.3104,3.3263999999999996,3.3224,3.2984,3.3064,3.2984,3.3024,3.2984,3.3024,3.3024,3.3104,3.2984,3.3064,3.3304,3.3144
-0.003743,3.2784,3.3024,3.2944,3.2864,3.3064,3.2944,3.3224,3.3104,3.3064,3.3064,3.2984,3.2984,3.3024,3.3024,3.2944,3.3144,3.2944,3.3104,3.3304,3.3144
-0.0037419999999999997,3.2784,3.2944,3.3024,3.3024,3.3064,3.2984,3.3263999999999996,3.3144,3.3024,3.3144,3.2944,3.2864,3.3024,3.3024,3.2944,3.3104,3.2984,3.3104,3.3263999999999996,3.3144
-0.003741,3.2824,3.2944,3.3024,3.2944,3.3144,3.3024,3.3224,3.3144,3.2904,3.3144,3.2984,3.2944,3.2984,3.3064,3.2944,3.3064,3.3024,3.3064,3.3304,3.3184
-0.00374,3.2784,3.2984,3.2984,3.2984,3.3024,3.3024,3.3224,3.3144,3.2984,3.3144,3.2984,3.2944,3.3104,3.3024,3.2904,3.3144,3.2944,3.3064,3.3304,3.3144
-0.0037389999999999997,3.2784,3.2984,3.2984,3.2944,3.3064,3.3024,3.3224,3.3184,3.2904,3.3104,3.2904,3.2944,3.3104,3.2984,3.2864,3.3104,3.2904,3.3104,3.3304,3.3224
-0.003738,3.2824,3.2944,3.2944,3.2984,3.3064,3.3024,3.3263999999999996,3.3184,3.2944,3.3144,3.2984,3.2944,3.3064,3.3064,3.2944,3.3024,3.2944,3.3144,3.3343999999999996,3.3224
-0.003737,3.2744,3.2944,3.2944,3.2984,3.2944,3.3064,3.3263999999999996,3.3224,3.2984,3.3184,3.2944,3.2904,3.3024,3.3024,3.2904,3.3104,3.3024,3.3184,3.3263999999999996,3.3144
-0.0037359999999999997,3.2744,3.2984,3.2984,3.2944,3.3104,3.3024,3.3343999999999996,3.3024,3.2984,3.3104,3.3024,3.2904,3.3064,3.3104,3.2984,3.3144,3.2944,3.3064,3.3263999999999996,3.3144
-0.003735,3.2784,3.2944,3.2984,3.2984,3.3104,3.3064,3.3304,3.3184,3.2944,3.3104,3.2904,3.2984,3.3064,3.3024,3.2944,3.3104,3.2984,3.3184,3.3304,3.3184
-0.003734,3.2744,3.3024,3.2944,3.2984,3.3104,3.3024,3.3304,3.3224,3.2904,3.3104,3.2864,3.2984,3.3064,3.3024,3.2984,3.3104,3.2944,3.3144,3.3343999999999996,3.3144
-0.0037329999999999998,3.2824,3.3024,3.2944,3.2984,3.3104,3.3144,3.3304,3.3184,3.2984,3.3144,3.2944,3.2944,3.3104,3.2984,3.2864,3.3144,3.2904,3.3064,3.3343999999999996,3.3104
-0.003732,3.2824,3.2984,3.2984,3.2984,3.3104,3.2984,3.3343999999999996,3.3144,3.2984,3.3104,3.2944,3.2944,3.3024,3.3064,3.2944,3.3104,3.2944,3.3144,3.3263999999999996,3.3144
-0.003731,3.2784,3.3064,3.2944,3.2944,3.3024,3.3064,3.3263999999999996,3.3224,3.2984,3.3104,3.2944,3.2864,3.3064,3.2984,3.2984,3.3024,3.2904,3.3104,3.3304,3.3224
-0.00373,3.2864,3.3104,3.2904,3.3024,3.3104,3.3064,3.3263999999999996,3.3224,3.2944,3.3184,3.2984,3.2904,3.3024,3.3024,3.2824,3.3064,3.3024,3.3104,3.3304,3.3224
-0.0037289999999999997,3.2824,3.3024,3.2984,3.2984,3.3064,3.2984,3.3263999999999996,3.3144,3.3024,3.3144,3.2944,3.2944,3.3104,3.3064,3.3024,3.3144,3.2944,3.3104,3.3343999999999996,3.3184
-0.003728,3.2864,3.2944,3.3024,3.2944,3.3064,3.3024,3.3263999999999996,3.3224,3.3024,3.3144,3.2944,3.2904,3.2984,3.2984,3.2864,3.3104,3.2944,3.3104,3.3263999999999996,3.3184
-0.003727,3.2824,3.2984,3.2984,3.2984,3.3104,3.3064,3.3224,3.3144,3.2984,3.3184,3.3024,3.2944,3.3104,3.3104,3.2944,3.3104,3.2944,3.3104,3.3343999999999996,3.3224
-0.0037259999999999997,3.2824,3.2944,3.3024,3.2984,3.3104,3.3024,3.3263999999999996,3.3184,3.2944,3.3104,3.2944,3.2904,3.3064,3.3024,3.2984,3.3024,3.2984,3.3104,3.3343999999999996,3.3224
-0.003725,3.2784,3.3024,3.2984,3.2984,3.3024,3.3024,3.3304,3.3064,3.2904,3.3263999999999996,3.2944,3.2904,3.3104,3.3024,3.2944,3.3064,3.2944,3.3184,3.3263999999999996,3.3144
-0.003724,3.2864,3.3024,3.2984,3.2984,3.3064,3.3144,3.3304,3.3184,3.2984,3.3104,3.3024,3.2904,3.3064,3.3024,3.2864,3.3024,3.2944,3.3024,3.3304,3.3104
-0.0037229999999999997,3.2824,3.3024,3.3024,3.2944,3.3024,3.3104,3.3304,3.3064,3.3024,3.3104,3.2984,3.2904,3.3104,3.2944,3.3024,3.3064,3.2984,3.3064,3.3263999999999996,3.3184
-0.003722,3.2744,3.3024,3.2984,3.2904,3.3064,3.3024,3.3263999999999996,3.3144,3.2864,3.3064,3.2904,3.2904,3.3024,3.3024,3.2984,3.3064,3.3064,3.3224,3.3263999999999996,3.3144
