x,time
4.1112,-0.00279
4.1122,-0.0027899
4.1122,-0.0027898
4.1126000000000005,-0.0027897
4.1134,-0.0027896
4.1148,-0.0027895
4.1138,-0.0027894
4.1144,-0.0027892999999999998
4.1142,-0.0027892
4.1146,-0.0027891
4.1138,-0.002789
4.1142,-0.0027889
4.1134,-0.0027888
4.1144,-0.0027887
4.1144,-0.0027886
4.1146,-0.0027884999999999997
4.1146,-0.0027884
4.1134,-0.0027883
4.1142,-0.0027882
4.1146,-0.0027881
4.1152,-0.002788
4.1144,-0.0027879
4.1138,-0.0027878
4.1132,-0.0027877
4.1138,-0.0027876
4.1124,-0.0027875
4.1128,-0.0027873999999999998
4.112,-0.0027873
4.1118,-0.0027872
4.1124,-0.0027871
4.112,-0.002787
4.1128,-0.0027869
4.1134,-0.0027868
4.1134,-0.0027867
4.1138,-0.0027865999999999998
4.1138,-0.0027865
4.1136,-0.0027864
4.114,-0.0027863
4.1142,-0.0027862
4.1132,-0.0027861
4.113,-0.002786
4.1128,-0.0027859
4.1122,-0.0027857999999999997
4.1142,-0.0027857
4.1142,-0.0027856
4.1138,-0.0027854999999999998
4.1126000000000005,-0.0027854
4.1132,-0.0027853
4.1136,-0.0027852
4.1126000000000005,-0.0027851
4.114,-0.002785
4.1138,-0.0027849
4.1134,-0.0027848
4.1144,-0.0027846999999999998
4.1144,-0.0027846
4.1136,-0.0027845
4.114,-0.0027844
4.1132,-0.0027843
4.1134,-0.0027842
4.1138,-0.0027841
4.1138,-0.002784
4.1142,-0.0027838999999999997
4.1144,-0.0027838
4.1148,-0.0027837
4.1142,-0.0027836
4.1148,-0.0027835
4.115,-0.0027834
4.1138,-0.0027833
4.1128,-0.0027832
4.1134,-0.0027831
4.113,-0.002783
4.1136,-0.0027829
4.1128,-0.0027827999999999998
4.114,-0.0027827
4.1144,-0.0027826
4.1144,-0.0027825
4.1154,-0.0027824
4.115,-0.0027823
4.1142,-0.0027822
4.1132,-0.0027821
4.114,-0.0027819999999999998
4.1136,-0.0027819
4.1142,-0.0027818
4.1148,-0.0027817
4.1144,-0.0027816
4.1138,-0.0027815
4.1136,-0.0027814
4.1136,-0.0027813
4.1138,-0.0027811999999999997
4.1138,-0.0027811
4.1152,-0.002781
4.114,-0.0027808999999999998
4.114,-0.0027808
4.1154,-0.0027807
4.1148,-0.0027806
4.1144,-0.0027805
4.1152,-0.0027804
4.115,-0.0027803
4.1148,-0.0027802
4.115,-0.0027800999999999998
4.1148,-0.00278
4.1152,-0.0027799
4.1166,-0.0027798
4.116,-0.0027797
4.1162,-0.0027796
4.1166,-0.0027795
4.1158,-0.0027794
4.1166,-0.0027792999999999997
4.1164000000000005,-0.0027792
4.1158,-0.0027791
4.115,-0.002779
4.115,-0.0027789
4.1144,-0.0027788
4.1148,-0.0027787
4.1144,-0.0027786
4.1148,-0.0027785
4.1138,-0.0027784
4.1144,-0.0027783
4.1138,-0.0027781999999999998
4.1158,-0.0027781
4.115,-0.002778
4.114,-0.0027779
4.1148,-0.0027778
4.1134,-0.0027777
4.1142,-0.0027776
4.1148,-0.0027775
4.1142,-0.0027773999999999997
4.1134,-0.0027773
4.1156,-0.0027772
4.1152,-0.0027771
4.1154,-0.002777
4.1158,-0.0027769
4.1162,-0.0027768
4.116,-0.0027767
4.1154,-0.0027766
4.1158,-0.0027765
4.1158,-0.0027764
4.116,-0.0027762999999999998
4.1168000000000005,-0.0027762
4.1164000000000005,-0.0027761
4.1166,-0.002776
4.116,-0.0027759
4.1168000000000005,-0.0027758
4.1154,-0.0027757
4.116,-0.0027756
4.1152,-0.0027754999999999998
4.1154,-0.0027754
4.114,-0.0027753
4.1152,-0.0027752
4.1152,-0.0027751
4.1144,-0.002775
4.1146,-0.0027749
4.114,-0.0027748
4.1134,-0.0027746999999999997
4.1136,-0.0027746
4.1146,-0.0027745
4.1146,-0.0027743999999999998
4.1152,-0.0027743
4.1148,-0.0027742
4.1146,-0.0027741
4.1142,-0.002774
4.1134,-0.0027739
4.114,-0.0027738
4.1144,-0.0027737
4.1156,-0.0027735999999999998
4.115,-0.0027735
4.116,-0.0027734
4.1144,-0.0027733
4.1158,-0.0027732
4.115,-0.0027731
4.1148,-0.002773
4.1156,-0.0027729
4.1158,-0.0027727999999999997
4.1152,-0.0027727
4.1136,-0.0027726
4.1136,-0.0027725
4.1146,-0.0027724
4.1142,-0.0027723
4.1154,-0.0027722
4.1148,-0.0027721
4.1146,-0.002772
4.1148,-0.0027719
4.113,-0.0027718
4.114,-0.0027716999999999998
4.1144,-0.0027716
4.1142,-0.0027715
4.1138,-0.0027714
4.1132,-0.0027713
4.114,-0.0027712
