time,x,y
-0.000912,5.0,-12.0
-0.0009116,6.0,-13.0
-0.0009112,5.0,-12.0
-0.0009108,5.0,-12.0
-0.0009104,5.0,-12.0
-0.00091,5.0,-12.0
-0.0009096000000000001,4.0,-12.0
-0.0009092000000000001,5.0,-12.0
-0.0009088000000000001,5.0,-11.0
-0.0009084000000000001,5.0,-12.0
-0.0009080000000000001,5.0,-12.0
-0.0009076,6.0,-12.0
-0.0009072,5.0,-12.0
-0.0009068,5.0,-12.0
-0.0009064,4.0,-12.0
-0.000906,5.0,-12.0
-0.0009056,4.0,-13.0
-0.0009052000000000001,5.0,-13.0
-0.0009048000000000001,5.0,-12.0
-0.0009044000000000001,6.0,-13.0
-0.0009040000000000001,4.0,-13.0
-0.0009036000000000001,5.0,-13.0
-0.0009032,4.0,-13.0
-0.0009028,5.0,-14.0
-0.0009024,5.0,-13.0
-0.000902,5.0,-12.0
-0.0009016,6.0,-13.0
-0.0009012,5.0,-14.0
-0.0009008000000000001,5.0,-14.0
-0.0009004000000000001,6.0,-13.0
-0.0009000000000000001,5.0,-12.0
-0.0008996000000000001,4.0,-13.0
-0.0008992000000000001,5.0,-13.0
-0.0008988000000000001,5.0,-13.0
-0.0008984,6.0,-13.0
-0.000898,4.0,-13.0
-0.0008976,6.0,-13.0
-0.0008972,5.0,-12.0
-0.0008968,5.0,-13.0
-0.0008964000000000001,5.0,-13.0
-0.0008960000000000001,5.0,-13.0
-0.0008956000000000001,6.0,-12.0
-0.0008952000000000001,5.0,-13.0
-0.0008948000000000001,6.0,-12.0
-0.0008944000000000001,4.0,-13.0
-0.000894,4.0,-12.0
-0.0008936,5.0,-13.0
-0.0008932,5.0,-12.0
-0.0008928,6.0,-12.0
-0.0008924,5.0,-12.0
-0.000892,6.0,-13.0
-0.0008916000000000001,5.0,-12.0
-0.0008912000000000001,4.0,-13.0
-0.0008908000000000001,5.0,-12.0
-0.0008904000000000001,6.0,-13.0
-0.0008900000000000001,4.0,-12.0
-0.0008896,4.0,-12.0
-0.0008892,5.0,-12.0
-0.0008888,5.0,-12.0
-0.0008884,4.0,-12.0
-0.000888,5.0,-12.0
-0.0008876,4.0,-12.0
-0.0008872000000000001,5.0,-12.0
-0.0008868000000000001,5.0,-13.0
-0.0008864000000000001,6.0,-13.0
-0.0008860000000000001,5.0,-13.0
-0.0008856000000000001,5.0,-13.0
-0.0008852,6.0,-13.0
-0.0008848,5.0,-13.0
-0.0008844,5.0,-13.0
-0.000884,4.0,-12.0
-0.0008836,6.0,-13.0
-0.0008832,5.0,-13.0
-0.0008828000000000001,5.0,-13.0
-0.0008824000000000001,5.0,-13.0
-0.0008820000000000001,5.0,-14.0
-0.0008816000000000001,5.0,-13.0
