time,x
-0.00212,7.8977
-0.0021199,7.8977
-0.0021198,7.8932
-0.0021197,7.8947
-0.0021196,7.8977
-0.0021195,7.8992
-0.0021194,7.8977
-0.0021192999999999997,7.8992
-0.0021192,7.8992
-0.0021191,7.8962
-0.002119,7.8992
-0.0021189,7.8977
-0.0021188,7.8977
-0.0021187,7.9007000000000005
-0.0021186,7.8917
-0.0021184999999999997,7.8991999999999996
-0.0021184,7.8992
-0.0021183,7.8977
-0.0021181999999999998,7.8962
-0.0021181,7.8917
-0.002118,7.9007000000000005
-0.0021179,7.9007000000000005
-0.0021178,7.8992
-0.0021177,7.8977
-0.0021176,7.9022
-0.0021175,7.8992
-0.0021173999999999998,7.8992
-0.0021173,7.8932
-0.0021172,7.8992
-0.0021171,7.9007000000000005
-0.002117,7.8977
-0.0021169,7.8962
-0.0021168,7.8977
-0.0021167,7.8962
-0.0021165999999999997,7.8917
-0.0021165,7.8947
-0.0021164,7.8992
-0.0021162999999999998,7.8947
-0.0021162,7.8947
-0.0021161,7.9037
-0.002116,7.8932
-0.0021159,7.8977
-0.0021157999999999997,7.8962
-0.0021157,7.8932
-0.0021156,7.8962
-0.0021154999999999998,7.8962
-0.0021154,7.8962
-0.0021153,7.902200000000001
-0.0021152,7.8977
-0.0021151,7.8992
-0.002115,7.8992
-0.0021149,7.8977
-0.0021148,7.8962
-0.0021146999999999997,7.8917
-0.0021146,7.8902
-0.0021145,7.8976999999999995
-0.0021144,7.8992
-0.0021143,7.8991999999999996
-0.0021142,7.902200000000001
-0.0021141,7.8947
-0.002114,7.8917
-0.0021138999999999997,7.8992
-0.0021138,7.8977
-0.0021137,7.902200000000001
-0.0021135999999999998,7.8962
-0.0021135,7.9037
-0.0021134,7.8992
-0.0021133,7.9007
-0.0021132,7.8947
-0.0021131,7.8962
-0.002113,7.8977
-0.0021129,7.9007000000000005
-0.0021127999999999997,7.8947
-0.0021127,7.8947
-0.0021126,7.8992
-0.0021125,7.8977
-0.0021124,7.8992
-0.0021123,7.8977
-0.0021122,7.8962
-0.0021121,7.8917
-0.0021119999999999997,7.8962
-0.0021119,7.8977
-0.0021118,7.8977
-0.0021116999999999998,7.8992
-0.0021116,7.8992
-0.0021115,7.9067
-0.0021114,7.8962
-0.0021113,7.8962
-0.0021111999999999997,7.8977
-0.0021111,7.8992
-0.002111,7.9037
-0.0021108999999999998,7.9022
-0.0021108,7.8992
-0.0021107,7.8992
-0.0021106,7.9007000000000005
-0.0021105,7.8992
-0.0021104,7.8977
-0.0021103,7.8992
-0.0021102,7.8932
-0.0021100999999999997,7.9052
-0.00211,7.8977
-0.0021099,7.9007000000000005
-0.0021098,7.903700000000001
-0.0021097,7.8932
-0.0021096,7.9007000000000005
-0.0021095,7.9007000000000005
-0.0021094,7.902200000000001
-0.0021092999999999997,7.902200000000001
-0.0021092,7.8992
-0.0021091,7.8977
-0.0021089999999999998,7.8977
-0.0021089,7.9007
-0.0021088,7.902200000000001
-0.0021087,7.9007000000000005
-0.0021086,7.8992
-0.0021085,7.9022
