time,col0,col1,col2,col3,col4
-0.00375,6.8326,6.8646,6.8406,6.7846,6.7926
-0.0037489999999999997,6.8246,6.8646,6.8326,6.7766,6.7926
-0.003748,6.8246,6.8806,6.8406,6.7926,6.7926
-0.003747,6.8326,6.8726,6.8326,6.7926,6.7926
-0.0037459999999999998,6.8246,6.8726,6.8406,6.7926,6.7926
-0.003745,6.8326,6.8726,6.8326,6.8006,6.8006
-0.003744,6.8326,6.8726,6.8326,6.7926,6.7846
-0.003743,6.8326,6.8646,6.8406,6.7846,6.7926
-0.0037419999999999997,6.8326,6.8646,6.8406,6.7846,6.7926
-0.003741,6.8326,6.8806,6.8326,6.8006,6.7926
-0.00374,6.8166,6.8726,6.8406,6.7926,6.8006
-0.0037389999999999997,6.8246,6.8726,6.8406,6.8166,6.8006
-0.003738,6.8326,6.8726,6.8406,6.7846,6.7926
-0.003737,6.8326,6.8726,6.8166,6.7846,6.8006
-0.0037359999999999997,6.8246,6.8806,6.8406,6.7926,6.8006
-0.003735,6.8406,6.8806,6.8406,6.7926,6.7926
-0.003734,6.8246,6.8646,6.8406,6.7846,6.8006
-0.0037329999999999998,6.8246,6.8806,6.8246,6.7846,6.7926
-0.003732,6.8246,6.8806,6.8326,6.7846,6.8006
-0.003731,6.8326,6.8806,6.8326,6.7926,6.8086
-0.00373,6.8326,6.8726,6.8246,6.7846,6.7926
-0.0037289999999999997,6.8246,6.8566,6.8246,6.7846,6.7846
-0.003728,6.8246,6.8726,6.8486,6.7846,6.7846
-0.003727,6.8326,6.8726,6.8326,6.7846,6.7926
-0.0037259999999999997,6.8166,6.8726,6.8406,6.7846,6.7926
-0.003725,6.8166,6.8806,6.8326,6.7846,6.7846
-0.003724,6.8246,6.8646,6.8486,6.8006,6.7926
-0.0037229999999999997,6.8326,6.8726,6.8406,6.8006,6.8006
-0.003722,6.8406,6.8886,6.8326,6.8086,6.7926
-0.003721,6.8246,6.8726,6.8406,6.7926,6.7926
-0.0037199999999999998,6.8326,6.8646,6.8166,6.7926,6.7926
-0.0037189999999999996,6.8246,6.8726,6.8406,6.7926,6.8006
-0.003718,6.8166,6.8646,6.8486,6.7926,6.7846
-0.003717,6.8326,6.8646,6.8326,6.7766,6.7846
-0.0037159999999999997,6.8246,6.8646,6.8486,6.8006,6.7926
-0.003715,6.8326,6.8726,6.8406,6.7926,6.7926
-0.003714,6.8246,6.8726,6.8326,6.7926,6.8086
-0.0037129999999999997,6.8166,6.8726,6.8326,6.7926,6.7926
-0.003712,6.8326,6.8806,6.8406,6.7926,6.7926
-0.003711,6.8326,6.8806,6.8486,6.7926,6.7926
-0.0037099999999999998,6.8246,6.8726,6.8326,6.8086,6.7846
