time,col0,col1,col2,col3,col4
-0.00238,6.7546,6.6826,6.7946,6.7466,6.8746
-0.002379,6.7626,6.6986,6.7946,6.7466,6.8746
-0.0023780000000000003,6.7546,6.7066,6.7946,6.7546,6.8746
-0.002377,6.7626,6.6906,6.7866,6.7386,6.8666
-0.002376,6.7706,6.6906,6.7946,6.7466,6.8666
-0.0023750000000000004,6.7546,6.6986,6.7866,6.7306,6.8746
-0.0023740000000000002,6.7546,6.6906,6.7866,6.7466,6.8666
-0.002373,6.7546,6.6906,6.7946,6.7306,6.8826
-0.002372,6.7626,6.6826,6.7946,6.7466,6.8746
-0.0023710000000000003,6.7546,6.6906,6.8026,6.7466,6.8826
-0.00237,6.7466,6.6906,6.7866,6.7546,6.8826
-0.002369,6.7466,6.6906,6.7946,6.7546,6.8906
-0.0023680000000000003,6.7546,6.6986,6.7866,6.7466,6.8826
-0.002367,6.7546,6.6986,6.7786,6.7386,6.8826
-0.002366,6.7546,6.6906,6.7946,6.7386,6.8746
-0.0023650000000000003,6.7626,6.6906,6.8026,6.7386,6.8746
-0.002364,6.7626,6.6826,6.7946,6.7546,6.8746
-0.002363,6.7546,6.6826,6.7946,6.7466,6.8666
-0.0023620000000000004,6.7386,6.6906,6.7866,6.7386,6.8906
-0.0023610000000000003,6.7626,6.6826,6.8026,6.7466,6.8746
-0.00236,6.7546,6.6906,6.7866,6.7546,6.8746
-0.002359,6.7706,6.6826,6.7946,6.7466,6.8826
-0.0023580000000000003,6.7626,6.6826,6.8026,6.7546,6.8826
-0.002357,6.7466,6.6906,6.8026,6.7546,6.8666
-0.002356,6.7546,6.6906,6.8026,6.7466,6.8906
-0.0023550000000000003,6.7546,6.6826,6.7946,6.7546,6.8906
-0.002354,6.7546,6.6986,6.8026,6.7466,6.8826
-0.002353,6.7546,6.6986,6.7786,6.7466,6.8666
-0.0023520000000000004,6.7546,6.6986,6.8026,6.7466,6.8826
-0.0023510000000000002,6.7626,6.6906,6.7866,6.7386,6.8826
-0.00235,6.7626,6.6906,6.7946,6.7306,6.8666
-0.002349,6.7546,6.6906,6.7946,6.7386,6.8746
-0.0023480000000000003,6.7546,6.6906,6.7866,6.7386,6.8826
-0.002347,6.7466,6.6986,6.7946,6.7466,6.8826
-0.002346,6.7466,6.6906,6.7786,6.7466,6.8826
-0.0023450000000000003,6.7466,6.6906,6.7946,6.7386,6.8746
-0.002344,6.7546,6.6906,6.7866,6.7546,6.8826
-0.002343,6.7626,6.6826,6.7866,6.7546,6.8746
-0.0023420000000000003,6.7546,6.6986,6.7946,6.7466,6.8826
-0.002341,6.7466,6.6906,6.7946,6.7546,6.8746
-0.00234,6.7546,6.6906,6.8026,6.7466,6.8746
-0.0023390000000000004,6.7546,6.6906,6.7946,6.7546,6.8746
-0.0023380000000000002,6.7626,6.6746,6.7866,6.7386,6.8826
-0.002337,6.7546,6.6906,6.7946,6.7466,6.8746
-0.002336,6.7546,6.6906,6.7866,6.7546,6.8746
