x,time
4.2148,-0.000536
4.2156,-0.00053596
4.2164,-0.0005359200000000001
4.2168,-0.00053588
4.216,-0.00053584
4.2152,-0.0005358
4.216,-0.00053576
4.216,-0.0005357200000000001
4.2144,-0.00053568
4.2164,-0.00053564
4.2164,-0.0005356
4.2168,-0.00053556
4.2156,-0.00053552
4.2172,-0.0005354800000000001
4.218400000000001,-0.00053544
4.2172,-0.0005354
4.2168,-0.00053536
4.216,-0.00053532
4.2164,-0.0005352800000000001
4.2176,-0.00053524
4.216,-0.0005352
4.2168,-0.00053516
4.2168,-0.00053512
4.2168,-0.0005350800000000001
4.2168,-0.00053504
4.2152,-0.000535
4.2168,-0.00053496
4.2148,-0.00053492
4.2164,-0.0005348800000000001
4.2168,-0.00053484
4.2164,-0.0005348
4.2152,-0.00053476
4.218000000000001,-0.00053472
4.2164,-0.00053468
4.2168,-0.0005346400000000001
4.2164,-0.0005346
4.216,-0.00053456
4.2168,-0.00053452
4.2164,-0.00053448
4.2176,-0.0005344400000000001
4.2164,-0.0005344
4.2168,-0.00053436
4.2168,-0.00053432
4.2164,-0.00053428
4.2168,-0.0005342400000000001
4.2168,-0.0005342
4.2172,-0.00053416
4.2168,-0.00053412
4.216,-0.00053408
4.216,-0.0005340400000000001
4.2152,-0.000534
4.2168,-0.00053396
4.2172,-0.00053392
4.2164,-0.00053388
4.2164,-0.00053384
4.218000000000001,-0.0005338
4.2152,-0.00053376
4.2164,-0.00053372
4.216,-0.00053368
4.2152,-0.00053364
4.2164,-0.0005336000000000001
4.2168,-0.00053356
4.2168,-0.00053352
4.2168,-0.00053348
4.2176,-0.00053344
4.2164,-0.0005334000000000001
4.2164,-0.00053336
4.216,-0.00053332
4.2168,-0.00053328
4.2156,-0.00053324
4.2172,-0.0005332000000000001
4.2156,-0.00053316
4.2144,-0.00053312
4.2156,-0.00053308
4.2168,-0.00053304
4.2168,-0.000533
4.2164,-0.00053296
4.2164,-0.00053292
4.2168,-0.00053288
4.216,-0.00053284
4.216,-0.0005328
4.2164,-0.0005327600000000001
4.2172,-0.00053272
4.2164,-0.00053268
4.2172,-0.00053264
4.2152,-0.0005326
4.2156,-0.0005325600000000001
4.2172,-0.00053252
4.2168,-0.00053248
4.2156,-0.00053244
4.219200000000001,-0.0005324
4.216,-0.0005323600000000001
4.216,-0.00053232
4.2156,-0.00053228
4.2172,-0.00053224
4.216,-0.0005322
4.2152,-0.0005321600000000001
4.218000000000001,-0.00053212
4.2176,-0.00053208
4.2164,-0.00053204
4.2156,-0.000532
4.2156,-0.00053196
4.2168,-0.0005319200000000001
4.2156,-0.00053188
4.2168,-0.00053184
4.2152,-0.0005318
4.2156,-0.00053176
4.2156,-0.0005317200000000001
4.218000000000001,-0.00053168
4.2164,-0.00053164
4.2156,-0.0005316
4.2168,-0.00053156
4.216,-0.0005315200000000001
4.2152,-0.00053148
4.2168,-0.00053144
4.2152,-0.0005314
4.216,-0.00053136
