x,y,time
8.33616,8.536240000000001,-0.047048
8.334800000000001,8.53664,-0.047047
8.335280000000001,8.536800000000001,-0.047046
8.33632,8.53656,-0.047045
8.337200000000001,8.537040000000001,-0.047044
8.336960000000001,8.536,-0.047043
8.337200000000001,8.5372,-0.047042
8.336400000000001,8.53616,-0.047041
8.33648,8.5372,-0.04704
8.3376,8.53664,-0.047039
8.33688,8.53688,-0.047037999999999996
8.3368,8.53688,-0.047037
8.33672,8.53696,-0.047036
8.336400000000001,8.53656,-0.047035
8.3384,8.5364,-0.047034
8.337520000000001,8.53712,-0.047033
8.33736,8.53736,-0.047032
8.33768,8.53728,-0.047030999999999996
8.33744,8.5364,-0.04703
8.3376,8.536800000000001,-0.047029
8.33688,8.53664,-0.047028
8.33728,8.538,-0.047027
8.3368,8.53736,-0.047026
8.335600000000001,8.5364,-0.047025
8.33552,8.53752,-0.047023999999999996
8.33656,8.53672,-0.047023
8.336640000000001,8.53688,-0.047022
8.33592,8.53688,-0.047021
8.336,8.536800000000001,-0.04702
8.33712,8.53728,-0.047019
8.33608,8.537040000000001,-0.047018
8.33608,8.536240000000001,-0.047016999999999996
8.33544,8.536800000000001,-0.047016
8.33656,8.53688,-0.047015
8.33624,8.53696,-0.047014
8.335840000000001,8.53696,-0.047013
8.33624,8.53728,-0.047012
8.33632,8.536240000000001,-0.047011
8.33632,8.53664,-0.047009999999999996
8.337520000000001,8.53656,-0.047009
8.33616,8.53616,-0.047008
8.336400000000001,8.53688,-0.047007
8.337520000000001,8.537040000000001,-0.047006
8.33552,8.5372,-0.047005
8.335600000000001,8.53744,-0.047004
8.33656,8.53584,-0.047002999999999996
8.33648,8.53688,-0.047002
8.336400000000001,8.5364,-0.047001
8.33576,8.53712,-0.047
8.33464,8.53672,-0.046999
8.33488,8.537600000000001,-0.046998
8.33536,8.53656,-0.046997
8.334800000000001,8.53664,-0.046995999999999996
8.333440000000001,8.5364,-0.046995
8.33496,8.53688,-0.046994
8.333440000000001,8.53616,-0.046993
8.334240000000001,8.536800000000001,-0.046992
8.33384,8.537040000000001,-0.046991
8.33352,8.53744,-0.04699
8.33336,8.53712,-0.046989
8.33328,8.53744,-0.046988
8.333440000000001,8.53656,-0.046987
8.333120000000001,8.53736,-0.046986
8.33256,8.53688,-0.046985
8.333680000000001,8.53664,-0.046984
8.333680000000001,8.53736,-0.046983
8.333680000000001,8.53712,-0.046982
8.3336,8.537040000000001,-0.046981
8.33336,8.537840000000001,-0.04698
8.33336,8.53728,-0.046979
8.33392,8.53672,-0.046978
8.33328,8.53712,-0.046977
8.333120000000001,8.53688,-0.046976
8.33392,8.536800000000001,-0.046975
8.33352,8.53728,-0.046974
8.33336,8.53584,-0.046973
8.33472,8.53696,-0.046972
8.33464,8.53592,-0.046971
8.335280000000001,8.53656,-0.04697
8.33472,8.536,-0.046969
8.33472,8.53672,-0.046968
8.33544,8.53664,-0.046967
8.33552,8.53632,-0.046966
8.336400000000001,8.53688,-0.046965
8.335840000000001,8.53664,-0.046964
8.33616,8.53592,-0.046963
8.336,8.536800000000001,-0.046962
8.335600000000001,8.536240000000001,-0.046961
8.33592,8.53696,-0.04696
